GHS-NRO;GHM-NRO;SEU-BAS;SEU-HAU;GHS-PRI;EXB-FORFAIT;EXB-JOURNALIER;EXH-PRI;CMD-COD;DCS-MCO;GHS-LIB;DATE-EFFET
53;01C113;7;39;11532,22;0;478,79;93,01;;;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 3;01/03/2017
54;01C114;6;60;13485,32;0;1302,07;484,39;;;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 4;01/03/2017
55;01C121;0;10;4825,01;0;0;92,4;;;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1;01/03/2017
56;01C122;0;27;7763;0;0;64,19;;;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2;01/03/2017
57;01C123;5;45;8918,37;0;770,25;74,11;;;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3;01/03/2017
58;01C124;15;92;12401,54;0;232,21;355,91;;;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4;01/03/2017
65;01C041;0;12;11989,48;0;0;125,55;;;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;01/03/2017
66;01C042;0;20;15611,19;0;0;94,76;;;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;01/03/2017
67;01C043;0;43;19823,85;0;0;61,96;;;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;01/03/2017
68;01C044;12;105;23665,58;0;365,88;470,14;;;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;01/03/2017
69;01C121;0;10;11391,03;0;0;92,4;;;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1;01/03/2017
70;01C122;0;27;14329,02;0;0;64,19;;;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2;01/03/2017
71;01C123;5;45;15484,39;0;770,25;74,11;;;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3;01/03/2017
72;01C124;15;92;18967,56;0;232,21;544,35;;;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4;01/03/2017
73;01C10J;0;0;1929,1;0;0;0;;;Pose d'un stimulateur médullaire, en ambulatoire;01/03/2017
74;01C141;0;3;876,71;0;0;230,59;;;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 1;01/03/2017
75;01C142;0;12;2952,03;0;0;379,89;;;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 2;01/03/2017
76;01C143;0;0;3689,27;0;0;0;;;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 3;01/03/2017
77;01C144;0;0;4348,39;0;0;0;;;Libérations de nerfs superficiels à l'exception du médian au canal carpien, niveau 4;01/03/2017
78;01C14J;0;0;876,71;0;0;0;;;Libérations de nerfs superficiels à l'exception du médian au canal carpien, en ambulatoire;01/03/2017
79;01C151;0;3;949,88;0;0;197,97;;;Libérations du médian au canal carpien, niveau 1;01/03/2017
80;01C152;0;11;2533,66;0;0;336,58;;;Libérations du médian au canal carpien, niveau 2;01/03/2017
81;01C153;0;0;3429,07;0;0;0;;;Libérations du médian au canal carpien, niveau 3;01/03/2017
82;01C154;0;0;7364,81;0;0;0;;;Libérations du médian au canal carpien, niveau 4;01/03/2017
83;01C15J;0;0;949,88;0;0;0;;;Libérations du médian au canal carpien, en ambulatoire;01/03/2017
84;05C211;0;3;1738,34;0;0;164,55;;;Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, niveau 1;01/03/2017
84;05C211;0;3;1738,34;0;0;164,55;;;Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, niveau 1;01/03/2017
85;05C212;0;16;5293,23;0;0;140,95;;;Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, niveau 2;01/03/2017
85;05C212;0;16;5293,23;0;0;140,95;;;Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, niveau 2;01/03/2017
86;05C213;0;42;9703,99;0;0;119,01;;;Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, niveau 3;01/03/2017
86;05C213;0;42;9703,99;0;0;119,01;;;Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, niveau 3;01/03/2017
87;05C214;6;76;13750,33;0;2697,56;318,23;;;Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, niveau 4;01/03/2017
87;05C214;6;76;13750,33;0;2697,56;318,23;;;Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, niveau 4;01/03/2017
88;05C21J;0;0;1738,34;0;0;0;;;Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, en ambulatoire;01/03/2017
88;05C21J;0;0;1738,34;0;0;0;;;Créations et réfections de fistules artérioveineuses pour affections de la CMD 05, en ambulatoire;01/03/2017
89;09C06T;0;0;2450,59;0;0;0;;;Interventions sur le sein pour des affections non malignes autres que les actes de biopsie et d'excision locale, très courte durée;01/03/2017
89;09C06T;0;0;2450,59;0;0;0;;;Interventions sur le sein pour des affections non malignes autres que les actes de biopsie et d'excision locale, très courte durée;01/03/2017
189;01K021;2;6;7211,8;0;2325,33;96,63;;;Autres embolisations intracrâniennes et médullaires, niveau 1;01/03/2017
190;01K022;0;11;8074,19;0;0;80,15;;;Autres embolisations intracrâniennes et médullaires, niveau 2;01/03/2017
191;01K023;0;34;9917,55;0;0;632,41;;;Autres embolisations intracrâniennes et médullaires, niveau 3;01/03/2017
192;01K024;0;0;15834,55;0;0;0;;;Autres embolisations intracrâniennes et médullaires, niveau 4;01/03/2017
193;01K031;0;7;4146,69;0;0;184,25;;;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 1;01/03/2017
194;01K032;0;18;8079,04;0;0;150,22;;;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 2;01/03/2017
195;01K033;0;32;10546,88;0;0;141,53;;;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 3;01/03/2017
196;01K034;12;74;16491,28;0;566,13;492,74;;;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 4;01/03/2017
197;01K04J;0;0;367,4;0;0;0;;;Injections de toxine botulique, en ambulatoire;01/03/2017
198;01K05J;0;0;257,9;0;0;0;;;Séjours pour douleurs chroniques rebelles comprenant un bloc ou une infiltration, en ambulatoire;01/03/2017
199;01K06J;0;0;895,12;0;0;0;;;Affections du système nerveux sans acte opératoire avec anesthésie, en ambulatoire;01/03/2017
200;01K071;5;37;9161,43;0;1407,2;109,9;;;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 1;01/03/2017
201;01K072;7;40;9491,13;0;54,95;256,89;;;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 2;01/03/2017
202;01K073;9;53;14880,74;0;718,61;205,64;;;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 3;01/03/2017
203;01K074;9;93;23106,18;0;1370,91;620,9;;;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 4;01/03/2017
204;01M041;0;7;1882,87;0;0;143,05;;;Méningites virales, niveau 1;01/03/2017
205;01M042;0;13;3959,64;0;0;97,2;;;Méningites virales, niveau 2;01/03/2017
206;01M043;6;36;6195,24;0;745,2;137,19;;;Méningites virales, niveau 3;01/03/2017
207;01M044;7;64;10036,48;0;1280,41;357,39;;;Méningites virales, niveau 4;01/03/2017
208;01M051;0;11;2564,89;0;0;123,27;;;Infections du système nerveux à l'exception des méningites virales, niveau 1;01/03/2017
209;01M052;4;34;5400,07;0;1890,12;134,35;;;Infections du système nerveux à l'exception des méningites virales, niveau 2;01/03/2017
210;01M053;0;35;7800,45;0;0;93,15;;;Infections du système nerveux à l'exception des méningites virales, niveau 3;01/03/2017
211;01M054;15;90;12923,52;0;341,54;310,81;;;Infections du système nerveux à l'exception des méningites virales, niveau 4;01/03/2017
212;01M05T;0;0;619,27;0;0;0;;;Infections du système nerveux à l'exception des méningites virales, très courte durée;01/03/2017
213;01M071;0;8;2016,91;0;0;96,64;;;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 1;01/03/2017
214;01M072;5;29;4046,45;0;676,51;110,77;;;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 2;01/03/2017
215;01M073;5;30;5001,85;0;636,93;72,38;;;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 3;01/03/2017
216;01M074;9;52;6594,13;0;265,38;247,68;;;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 4;01/03/2017
217;01M07T;0;0;472,13;0;0;0;;;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, très courte durée;01/03/2017
218;01M081;0;7;1422,93;0;0;124,53;;;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 1;01/03/2017
219;01M082;0;19;4047,49;0;0;101,92;;;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 2;01/03/2017
220;01M083;0;33;5823,93;0;0;92,21;;;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 3;01/03/2017
221;01M084;7;69;9143,56;0;1106,54;277,88;;;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 4;01/03/2017
222;01M08T;0;0;495,76;0;0;0;;;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, très courte durée;01/03/2017
223;01M091;0;7;1541,78;0;0;124,45;;;Affections et lésions du rachis et de la moelle, niveau 1;01/03/2017
224;01M092;0;19;4864,74;0;0;81,14;;;Affections et lésions du rachis et de la moelle, niveau 2;01/03/2017
225;01M093;5;49;7299,02;0;1622,85;110,85;;;Affections et lésions du rachis et de la moelle, niveau 3;01/03/2017
226;01M094;15;88;11622,08;0;288,2;285,26;;;Affections et lésions du rachis et de la moelle, niveau 4;01/03/2017
227;01M09T;0;0;547,28;0;0;0;;;Affections et lésions du rachis et de la moelle, très courte durée;01/03/2017
228;01M101;0;8;1999,42;0;0;153,2;;;Autres affections cérébrovasculaires, niveau 1;01/03/2017
229;01M102;0;19;4715,87;0;0;110,62;;;Autres affections cérébrovasculaires, niveau 2;01/03/2017
230;01M103;6;36;6596,44;0;626,86;144,67;;;Autres affections cérébrovasculaires, niveau 3;01/03/2017
231;01M104;12;72;11804,38;0;495,99;315,78;;;Autres affections cérébrovasculaires, niveau 4;01/03/2017
232;01M10T;0;0;827,64;0;0;0;;;Autres affections cérébrovasculaires, très courte durée;01/03/2017
233;01M111;0;8;2000,7;0;0;121,43;;;Affections des nerfs crâniens et rachidiens, niveau 1;01/03/2017
234;01M112;0;15;3428,17;0;0;93,93;;;Affections des nerfs crâniens et rachidiens, niveau 2;01/03/2017
235;01M113;0;36;5400,74;0;0;157,13;;;Affections des nerfs crâniens et rachidiens, niveau 3;01/03/2017
236;01M114;6;58;8857,5;0;2304,51;320,54;;;Affections des nerfs crâniens et rachidiens, niveau 4;01/03/2017
237;01M11T;0;0;542,54;0;0;0;;;Affections des nerfs crâniens et rachidiens, très courte durée;01/03/2017
238;01M121;0;7;1776,42;0;0;109,53;;;Autres affections du système nerveux, niveau 1;01/03/2017
239;01M122;0;16;3762,49;0;0;89,11;;;Autres affections du système nerveux, niveau 2;01/03/2017
240;01M123;0;31;5768,45;0;0;69,43;;;Autres affections du système nerveux, niveau 3;01/03/2017
241;01M124;7;65;8128,98;0;786,84;289,66;;;Autres affections du système nerveux, niveau 4;01/03/2017
242;01M12T;0;0;564,82;0;0;0;;;Autres affections du système nerveux, très courte durée;01/03/2017
243;01M131;0;3;893,15;0;0;138,27;;;Troubles de la conscience et comas d'origine non traumatique, niveau 1;01/03/2017
244;01M132;0;14;2923,43;0;0;127,88;;;Troubles de la conscience et comas d'origine non traumatique, niveau 2;01/03/2017
245;01M133;0;26;4851,73;0;0;117,24;;;Troubles de la conscience et comas d'origine non traumatique, niveau 3;01/03/2017
246;01M134;0;63;9189,61;0;0;354,38;;;Troubles de la conscience et comas d'origine non traumatique, niveau 4;01/03/2017
247;01M151;0;10;2292,38;0;0;152,41;;;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 1;01/03/2017
248;01M152;0;14;3018,93;0;0;148,23;;;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 2;01/03/2017
249;01M153;0;21;4185,7;0;0;142,08;;;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 3;01/03/2017
250;01M154;0;42;7169,43;0;0;325,97;;;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 4;01/03/2017
251;01M161;0;8;2159,43;0;0;166,56;;;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 1;01/03/2017
252;01M162;0;12;2876,8;0;0;165,06;;;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 2;01/03/2017
253;01M163;0;22;4650,14;0;0;159,94;;;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 3;01/03/2017
254;01M164;0;46;8488,69;0;0;359,22;;;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 4;01/03/2017
255;01M171;0;6;1203,81;0;0;131,26;;;Sclérose en plaques et ataxie cérébelleuse, niveau 1;01/03/2017
256;01M172;0;13;3139,16;0;0;113,43;;;Sclérose en plaques et ataxie cérébelleuse, niveau 2;01/03/2017
257;01M173;0;30;5641,22;0;0;99,08;;;Sclérose en plaques et ataxie cérébelleuse, niveau 3;01/03/2017
258;01M174;7;70;9604,46;0;1321,08;291,06;;;Sclérose en plaques et ataxie cérébelleuse, niveau 4;01/03/2017
259;01M17T;0;0;445,37;0;0;0;;;Sclérose en plaques et ataxie cérébelleuse, très courte durée;01/03/2017
260;01M181;0;10;1995,43;0;0;119,53;;;Lésions traumatiques intracrâniennes sévères, niveau 1;01/03/2017
261;01M182;0;20;4523,58;0;0;100,21;;;Lésions traumatiques intracrâniennes sévères, niveau 2;01/03/2017
262;01M183;0;34;6739,76;0;0;85,42;;;Lésions traumatiques intracrâniennes sévères, niveau 3;01/03/2017
263;01M184;8;89;11438,03;0;1044,06;314,26;;;Lésions traumatiques intracrâniennes sévères, niveau 4;01/03/2017
264;01M191;0;5;1167,38;0;0;131,06;;;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 1;01/03/2017
265;01M192;0;18;3375,66;0;0;119,05;;;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 2;01/03/2017
266;01M193;0;29;5027,72;0;0;107,99;;;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 3;01/03/2017
267;01M194;8;60;8375,57;0;743,97;287,81;;;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 4;01/03/2017
268;01M201;0;3;668,33;0;0;102,38;;;Commotions cérébrales, niveau 1;01/03/2017
269;01M202;0;13;2380,77;0;0;83,77;;;Commotions cérébrales, niveau 2;01/03/2017
270;01M203;0;22;3545,45;0;0;69,1;;;Commotions cérébrales, niveau 3;01/03/2017
271;01M204;0;50;5480,19;0;0;250,99;;;Commotions cérébrales, niveau 4;01/03/2017
272;01M211;0;7;1518,96;0;0;180,36;;;Douleurs chroniques rebelles, niveau 1;01/03/2017
273;01M212;0;13;2935,52;0;0;170,52;;;Douleurs chroniques rebelles, niveau 2;01/03/2017
274;01M213;0;23;5376,11;0;0;139,89;;;Douleurs chroniques rebelles, niveau 3;01/03/2017
275;01M214;0;47;8733,36;0;0;367,74;;;Douleurs chroniques rebelles, niveau 4;01/03/2017
276;01M221;0;3;945,6;0;0;150,22;;;Migraines et céphalées, niveau 1;01/03/2017
277;01M222;0;10;2194,86;0;0;121,98;;;Migraines et céphalées, niveau 2;01/03/2017
278;01M223;0;17;3048,68;0;0;256,37;;;Migraines et céphalées, niveau 3;01/03/2017
279;01M224;0;0;5227,04;0;0;0;;;Migraines et céphalées, niveau 4;01/03/2017
280;01M22T;0;0;534,48;0;0;0;;;Migraines et céphalées, très courte durée;01/03/2017
281;01M231;0;3;901,84;0;0;379,8;;;Convulsions hyperthermiques, niveau 1;01/03/2017
282;01M232;0;7;2421,04;0;0;419,1;;;Convulsions hyperthermiques, niveau 2;01/03/2017
283;01M233;0;0;3704,07;0;0;0;;;Convulsions hyperthermiques, niveau 3;01/03/2017
284;01M234;0;0;6132,69;0;0;0;;;Convulsions hyperthermiques, niveau 4;01/03/2017
285;01M241;0;5;1640,75;0;0;161,26;;;Epilepsie, âge inférieur à 18 ans, niveau 1;01/03/2017
286;01M242;0;12;3617,82;0;0;143,95;;;Epilepsie, âge inférieur à 18 ans, niveau 2;01/03/2017
287;01M243;0;26;6778,4;0;0;111,23;;;Epilepsie, âge inférieur à 18 ans, niveau 3;01/03/2017
288;01M244;0;61;10671,42;0;0;372,37;;;Epilepsie, âge inférieur à 18 ans, niveau 4;01/03/2017
289;01M24T;0;0;714,41;0;0;0;;;Epilepsie, âge inférieur à 18 ans, très courte durée;01/03/2017
290;01M251;0;6;1453,08;0;0;126,89;;;Epilepsie, âge supérieur à 17 ans, niveau 1;01/03/2017
291;01M252;0;14;2588,31;0;0;122,89;;;Epilepsie, âge supérieur à 17 ans, niveau 2;01/03/2017
292;01M253;0;25;4078,79;0;0;115,58;;;Epilepsie, âge supérieur à 17 ans, niveau 3;01/03/2017
293;01M254;0;44;6274,9;0;0;250,16;;;Epilepsie, âge supérieur à 17 ans, niveau 4;01/03/2017
294;01M25T;0;0;608,05;0;0;0;;;Epilepsie, âge supérieur à 17 ans, très courte durée;01/03/2017
295;01M261;0;10;2602,19;0;0;136,32;;;Tumeurs malignes du système nerveux, niveau 1;01/03/2017
296;01M262;0;19;4784,96;0;0;114,09;;;Tumeurs malignes du système nerveux, niveau 2;01/03/2017
297;01M263;0;33;6930,17;0;0;95,2;;;Tumeurs malignes du système nerveux, niveau 3;01/03/2017
298;01M264;10;62;9690,87;0;368,09;323,98;;;Tumeurs malignes du système nerveux, niveau 4;01/03/2017
299;01M26T;0;0;598,34;0;0;0;;;Tumeurs malignes du système nerveux, très courte durée;01/03/2017
300;01M271;0;7;1861,77;0;0;150,42;;;Autres tumeurs du système nerveux, niveau 1;01/03/2017
301;01M272;0;15;3437,26;0;0;121,79;;;Autres tumeurs du système nerveux, niveau 2;01/03/2017
302;01M273;0;28;5020,51;0;0;220,69;;;Autres tumeurs du système nerveux, niveau 3;01/03/2017
303;01M274;6;48;9434,36;0;2942,57;395;;;Autres tumeurs du système nerveux, niveau 4;01/03/2017
304;01M27T;0;0;786,05;0;0;0;;;Autres tumeurs du système nerveux, très courte durée;01/03/2017
305;01M281;0;5;1339,19;0;0;118,84;;;Hydrocéphalies, niveau 1;01/03/2017
306;01M282;0;17;3606,94;0;0;72,08;;;Hydrocéphalies, niveau 2;01/03/2017
307;01M283;0;35;4904,31;0;0;190,67;;;Hydrocéphalies, niveau 3;01/03/2017
308;01M284;9;52;8145,64;0;540,22;266,77;;;Hydrocéphalies, niveau 4;01/03/2017
309;01M28T;0;0;506,33;0;0;0;;;Hydrocéphalies, très courte durée;01/03/2017
310;01M291;0;3;2047,09;0;0;305,74;;;Anévrysmes cérébraux, niveau 1;01/03/2017
311;01M292;0;15;5716,02;0;0;633,92;;;Anévrysmes cérébraux, niveau 2;01/03/2017
312;01M293;0;0;8570,71;0;0;0;;;Anévrysmes cérébraux, niveau 3;01/03/2017
313;01M294;0;0;14190,17;0;0;0;;;Anévrysmes cérébraux, niveau 4;01/03/2017
314;01M301;0;13;2916,91;0;0;139,19;;;Accidents vasculaires intracérébraux non transitoires, niveau 1;01/03/2017
315;01M302;0;20;4549,22;0;0;121,41;;;Accidents vasculaires intracérébraux non transitoires, niveau 2;01/03/2017
316;01M303;0;31;6418,74;0;0;100,87;;;Accidents vasculaires intracérébraux non transitoires, niveau 3;01/03/2017
317;01M304;0;57;9041,35;0;0;281,12;;;Accidents vasculaires intracérébraux non transitoires, niveau 4;01/03/2017
318;01M30T;0;0;657,23;0;0;0;;;Transferts et autres séjours courts pour accidents vasculaires intracérébraux non transitoires;01/03/2017
319;01M311;0;12;2896,49;0;0;117,39;;;Autres accidents vasculaires cérébraux non transitoires, niveau 1;01/03/2017
320;01M312;0;21;4452,56;0;0;105,49;;;Autres accidents vasculaires cérébraux non transitoires, niveau 2;01/03/2017
321;01M313;7;39;6839,74;0;530,48;85,15;;;Autres accidents vasculaires cérébraux non transitoires, niveau 3;01/03/2017
322;01M314;6;63;8883,23;0;1362,33;299,52;;;Autres accidents vasculaires cérébraux non transitoires, niveau 4;01/03/2017
323;01M31T;0;0;740,24;0;0;0;;;Transferts et autres séjours courts pour autres accidents vasculaires cérébraux non transitoires;01/03/2017
324;01M32Z;0;0;749,48;0;0;0;;;Explorations et surveillance pour affections du système nerveux;01/03/2017
325;01M331;0;3;699,95;0;0;134,57;;;Troubles du sommeil, niveau 1;01/03/2017
326;01M332;0;12;1911,05;0;0;191,47;;;Troubles du sommeil, niveau 2;01/03/2017
327;01M333;0;16;2676,94;0;0;227,29;;;Troubles du sommeil, niveau 3;01/03/2017
328;01M334;0;0;4755,24;0;0;0;;;Troubles du sommeil, niveau 4;01/03/2017
329;01M34Z;0;20;3327,17;0;0;236,6;;;Anomalies de la démarche d'origine neurologique;01/03/2017
330;01M35Z;0;10;2145,93;0;0;287,5;;;Symptômes et autres recours aux soins de la CMD 01;01/03/2017
331;01M36E;0;0;720,09;0;0;0;;;Accidents vasculaires cérébraux non transitoires avec décès : séjours de moins de 2 jours;01/03/2017
332;01M37E;0;0;680,89;0;0;0;;;Autres affections de la CMD 01 avec décès : séjours de moins de 2 jours;01/03/2017
333;01M04T;0;0;540,27;0;0;0;;;Méningites virales, très courte durée;01/03/2017
334;01M15T;0;0;715,63;0;0;0;;;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, très courte durée;01/03/2017
335;01M16T;0;0;801,89;0;0;0;;;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, très courte durée;01/03/2017
336;01M18T;0;0;814,68;0;0;0;;;Lésions traumatiques intracrâniennes sévères, très courte durée;01/03/2017
337;01M21T;0;0;404,6;0;0;0;;;Douleurs chroniques rebelles, très courte durée;01/03/2017
338;01M34T;0;0;567,31;0;0;0;;;Anomalies de la démarche d'origine neurologique, très courte durée;01/03/2017
339;01M35T;0;0;542,89;0;0;0;;;Symptômes et autres recours aux soins de la CMD 01, très courte durée;01/03/2017
340;01M381;0;5;1032,01;0;0;64,96;;;Autres affections neurologiques concernant majoritairement la petite enfance, niveau 1;01/03/2017
341;01M382;0;23;2201,23;0;0;199,08;;;Autres affections neurologiques concernant majoritairement la petite enfance, niveau 2;01/03/2017
342;01M383;0;0;2989,27;0;0;0;;;Autres affections neurologiques concernant majoritairement la petite enfance, niveau 3;01/03/2017
343;01M384;0;0;4929,38;0;0;0;;;Autres affections neurologiques concernant majoritairement la petite enfance, niveau 4;01/03/2017
344;01M391;0;3;1132,36;0;0;221,66;;;Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 1;01/03/2017
345;01M392;0;7;2019;0;0;229,63;;;Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 2;01/03/2017
346;01M393;0;9;3226,15;0;0;104,98;;;Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 3;01/03/2017
347;01M394;0;15;3856,02;0;0;366,08;;;Troubles de la régulation thermique du nouveau-né et du nourrisson, niveau 4;01/03/2017
410;02C021;0;3;2435;0;0;165,54;;;Interventions sur la rétine, niveau 1;01/03/2017
411;02C022;0;14;4255,96;0;0;486,35;;;Interventions sur la rétine, niveau 2;01/03/2017
412;02C023;0;0;9972,07;0;0;0;;;Interventions sur la rétine, niveau 3;01/03/2017
