GHS-NRO;CMD-COD;DCS-MCO;GHM-NRO;GHS-LIB;SEU-BAS;SEU-HAU;GHS-PRI;EXB-FORFAIT;EXB-JOURNALIER;EXH-PRI;DAT-EFFET
43;1;C;01C091;Pose d'un stimulateur cérébral, niveau 1;3;22;8628,96;0;2353,74;223,39;01/03/2011
44;1;C;01C092;Pose d'un stimulateur cérébral, niveau 2;6;39;12426,59;3797,63;0;586,45;01/03/2011
45;1;C;01C093;Pose d'un stimulateur cérébral, niveau 3;0;0;18171,78;0;0;0;01/03/2011
46;1;C;01C094;Pose d'un stimulateur cérébral, niveau 4;0;0;23102,69;0;0;0;01/03/2011
47;1;C;01C101;Pose d'un stimulateur médullaire, niveau 1;2;7;2315,41;0;242,78;276,12;01/03/2011
48;1;C;01C102;Pose d'un stimulateur médullaire, niveau 2;0;17;6018,01;0;0;644,79;01/03/2011
49;1;C;01C103;Pose d'un stimulateur médullaire, niveau 3;0;0;8800,32;0;0;0;01/03/2011
50;1;C;01C104;Pose d'un stimulateur médullaire, niveau 4;0;0;11188,29;0;0;0;01/03/2011
51;1;C;01C111;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 1;4;19;7972,52;0;1482,27;149,86;01/03/2011
52;1;C;01C112;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 2;4;30;9992,07;2019,55;0;137,48;01/03/2011
53;1;C;01C113;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 3;0;32;11705,83;0;0;86,1;01/03/2011
54;1;C;01C114;Craniotomies pour tumeurs, âge inférieur à 18 ans, niveau 4;6;60;14116,57;2410,74;0;435,04;01/03/2011
55;1;C;01C121;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1;3;16;5358,57;0;1113,38;112,3;01/03/2011
56;1;C;01C122;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2;0;31;8073,09;0;0;81,59;01/03/2011
57;1;C;01C123;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3;5;45;9215,3;1142,21;0;99,53;01/03/2011
58;1;C;01C124;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4;15;92;13893,26;4677,96;0;281,58;01/03/2011
59;1;C;01C131;Libérations du canal carpien et d'autres nerfs superficiels, niveau 1;0;4;787,3;0;0;169,69;01/03/2011
60;1;C;01C132;Libérations du canal carpien et d'autres nerfs superficiels, niveau 2;0;15;2629,97;0;0;327,07;01/03/2011
61;1;C;01C133;Libérations du canal carpien et d'autres nerfs superficiels, niveau 3;0;0;3845,89;0;0;0;01/03/2011
62;1;C;01C134;Libérations du canal carpien et d'autres nerfs superficiels, niveau 4;0;0;4889,47;0;0;0;01/03/2011
63;1;C;01C13J;Libérations du canal carpien et d'autres nerfs superficiels, en ambulatoire;0;0;787,3;0;0;0;01/03/2011
65;1;C;01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1;3;19;12504,53;0;1881,41;142,31;01/03/2011
66;1;C;01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2;7;39;17520,78;5016,25;0;109,43;01/03/2011
67;1;C;01C043;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3;7;66;21275,8;3755,02;0;88,9;01/03/2011
68;1;C;01C044;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4;12;105;24742,96;3467,16;0;441,58;01/03/2011
69;1;C;01C121;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 1;3;16;12142,8;0;2522,98;112,3;01/03/2011
70;1;C;01C122;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 2;0;31;14857,31;0;0;81,59;01/03/2011
71;1;C;01C123;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 3;5;45;15999,53;1142,22;0;99,53;01/03/2011
72;1;C;01C124;Craniotomies pour affections non tumorales, âge inférieur à 18 ans, niveau 4;15;92;20677,49;4677,96;0;419,07;01/03/2011
189;1;M;01K021;Autres embolisations intracrâniennes et médullaires, niveau 1;2;11;7793,63;0;2548,08;1326,46;01/03/2011
190;1;M;01K022;Autres embolisations intracrâniennes et médullaires, niveau 2;0;18;8399,02;0;0;157,57;01/03/2011
191;1;M;01K023;Autres embolisations intracrâniennes et médullaires, niveau 3;4;34;10281,36;1882,34;0;559,95;01/03/2011
192;1;M;01K024;Autres embolisations intracrâniennes et médullaires, niveau 4;0;0;16291,03;0;0;0;01/03/2011
193;1;M;01K031;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 1;3;11;4941,88;0;1028,31;148,63;01/03/2011
194;1;M;01K032;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 2;0;30;8548,19;0;0;120,7;01/03/2011
195;1;M;01K033;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 3;6;58;11927,64;3379,45;0;178,77;01/03/2011
196;1;M;01K034;Autres actes thérapeutiques par voie vasculaire du système nerveux, niveau 4;16;97;18899,59;6971,95;0;361,7;01/03/2011
197;1;M;01K04J;Injections de toxine botulique, en ambulatoire;0;0;379,22;0;0;0;01/03/2011
198;1;M;01K05J;Séjours pour douleurs chroniques rebelles comprenant un bloc ou une infiltration, en ambulatoire;0;0;265,21;0;0;0;01/03/2011
199;1;M;01K06J;Affections du système nerveux sans acte opératoire avec anesthésie, en ambulatoire;0;0;920,43;0;0;0;01/03/2011
200;1;M;01K071;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 1;5;37;9615,18;0;1484,52;63,61;01/03/2011
201;1;M;01K072;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 2;7;40;9806;190,82;0;296,09;01/03/2011
202;1;M;01K073;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 3;9;53;16092,24;6286,24;0;235,15;01/03/2011
203;1;M;01K074;Embolisations intracrâniennes et médullaires pour hémorragie, niveau 4;9;93;25498,48;9406,24;0;511,57;01/03/2011
204;1;M;01M041;Méningites virales, niveau 1;0;9;1961,03;0;0;112,05;01/03/2011
205;1;M;01M042;Méningites virales, niveau 2;0;21;4374,35;0;0;73,88;01/03/2011
206;1;M;01M043;Méningites virales, niveau 3;5;49;6443,03;2068,68;0;243,75;01/03/2011
207;1;M;01M044;Méningites virales, niveau 4;7;64;10667,32;4224,29;0;308,98;01/03/2011
208;1;M;01M051;Infections du système nerveux à l'exception des méningites virales, niveau 1;2;15;2896,15;0;1128,83;143,82;01/03/2011
209;1;M;01M052;Infections du système nerveux à l'exception des méningites virales, niveau 2;4;34;5628,83;2732,68;0;156,69;01/03/2011
210;1;M;01M053;Infections du système nerveux à l'exception des méningites virales, niveau 3;6;51;8347,3;2718,47;0;155,29;01/03/2011
211;1;M;01M054;Infections du système nerveux à l'exception des méningites virales, niveau 4;15;90;14403,72;6056,42;0;300,04;01/03/2011
212;1;M;01M05T;Infections du système nerveux à l'exception des méningites virales, très courte durée;0;0;638,49;0;0;0;01/03/2011
213;1;M;01M071;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 1;2;18;2491,59;0;1012,47;131,61;01/03/2011
214;1;M;01M072;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 2;6;32;4334,16;1842,57;0;148,79;01/03/2011
215;1;M;01M073;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 3;7;39;5375,69;1041,53;0;149,52;01/03/2011
216;1;M;01M074;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, niveau 4;9;52;7319,4;1943,71;0;263,69;01/03/2011
217;1;M;01M07T;Maladies dégénératives du système nerveux, âge supérieur à 79 ans, très courte durée;0;0;466,65;0;0;0;01/03/2011
218;1;M;01M081;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 1;3;11;1896,78;0;457,75;130,52;01/03/2011
219;1;M;01M082;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 2;0;30;4376,58;0;0;139,02;01/03/2011
220;1;M;01M083;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 3;5;44;6410,07;2033,49;0;135,53;01/03/2011
221;1;M;01M084;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, niveau 4;7;69;9798,35;3388,28;0;264,82;01/03/2011
222;1;M;01M08T;Maladies dégénératives du système nerveux, âge inférieur à 80 ans, très courte durée;0;0;523,52;0;0;0;01/03/2011
223;1;M;01M091;Affections et lésions du rachis et de la moelle, niveau 1;0;7;1591,86;0;0;138,49;01/03/2011
224;1;M;01M092;Affections et lésions du rachis et de la moelle, niveau 2;0;31;5234,9;0;0;132,89;01/03/2011
225;1;M;01M093;Affections et lésions du rachis et de la moelle, niveau 3;5;49;7685,33;2450,43;0;131,39;01/03/2011
226;1;M;01M094;Affections et lésions du rachis et de la moelle, niveau 4;15;88;12809,66;5124,33;0;269,93;01/03/2011
227;1;M;01M09T;Affections et lésions du rachis et de la moelle, très courte durée;0;0;564,51;0;0;0;01/03/2011
228;1;M;01M101;Autres affections cérébrovasculaires, niveau 1;3;15;2483,17;0;500,91;158,15;01/03/2011
229;1;M;01M102;Autres affections cérébrovasculaires, niveau 2;4;31;5401,05;2917,88;0;130,48;01/03/2011
230;1;M;01M103;Autres affections cérébrovasculaires, niveau 3;8;45;7227,81;1826,76;0;209,48;01/03/2011
231;1;M;01M104;Autres affections cérébrovasculaires, niveau 4;12;72;12883,8;5655,99;0;333,04;01/03/2011
232;1;M;01M10T;Autres affections cérébrovasculaires, très courte durée;0;0;980,45;0;0;0;01/03/2011
233;1;M;01M111;Affections des nerfs crâniens et rachidiens, niveau 1;0;12;2079,4;0;0;154,86;01/03/2011
234;1;M;01M112;Affections des nerfs crâniens et rachidiens, niveau 2;4;23;3812,36;1732,96;0;152,59;01/03/2011
235;1;M;01M113;Affections des nerfs crâniens et rachidiens, niveau 3;4;36;5795,98;1983,62;0;172,65;01/03/2011
236;1;M;01M114;Affections des nerfs crâniens et rachidiens, niveau 4;6;58;9594,26;3798,28;0;306,54;01/03/2011
237;1;M;01M11T;Affections des nerfs crâniens et rachidiens, très courte durée;0;0;558,25;0;0;0;01/03/2011
238;1;M;01M121;Autres affections du système nerveux, niveau 1;0;9;1842,69;0;0;117,91;01/03/2011
239;1;M;01M122;Autres affections du système nerveux, niveau 2;0;27;3965,11;0;0;119,3;01/03/2011
240;1;M;01M123;Autres affections du système nerveux, niveau 3;4;39;6044,5;2079,39;0;94,39;01/03/2011
241;1;M;01M124;Autres affections du système nerveux, niveau 4;7;65;8498,53;2454,03;0;242,64;01/03/2011
242;1;M;01M12T;Autres affections du système nerveux, très courte durée;0;0;581,61;0;0;0;01/03/2011
243;1;M;01M131;Troubles de la conscience et comas d'origine non traumatique, niveau 1;0;3;933;0;0;107,21;01/03/2011
244;1;M;01M132;Troubles de la conscience et comas d'origine non traumatique, niveau 2;0;23;3077,22;0;0;152,84;01/03/2011
245;1;M;01M133;Troubles de la conscience et comas d'origine non traumatique, niveau 3;0;36;5064,18;0;0;172,08;01/03/2011
246;1;M;01M134;Troubles de la conscience et comas d'origine non traumatique, niveau 4;5;63;9710,43;4646,25;0;286,21;01/03/2011
247;1;M;01M151;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 1;4;17;2482,77;0;436,53;141,12;01/03/2011
248;1;M;01M152;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 2;4;22;3228,24;745,47;0;136,7;01/03/2011
249;1;M;01M153;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 3;4;31;4458,5;1230,26;0;261,8;01/03/2011
250;1;M;01M154;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, niveau 4;5;42;7381,76;2923,26;0;325,4;01/03/2011
251;1;M;01M161;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 1;0;14;2258,18;0;0;155,22;01/03/2011
252;1;M;01M162;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 2;4;20;3189,5;931,32;0;207,33;01/03/2011
253;1;M;01M163;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 3;5;30;5262,83;2073,33;0;219,37;01/03/2011
254;1;M;01M164;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, niveau 4;5;46;8772,71;3509,88;0;350,53;01/03/2011
255;1;M;01M171;Sclérose en plaques et ataxie cérébelleuse, niveau 1;2;8;1368,01;0;437,52;130,54;01/03/2011
256;1;M;01M172;Sclérose en plaques et ataxie cérébelleuse, niveau 2;0;23;3326,16;0;0;143,82;01/03/2011
257;1;M;01M173;Sclérose en plaques et ataxie cérébelleuse, niveau 3;0;38;6091,56;0;0;124,81;01/03/2011
258;1;M;01M174;Sclérose en plaques et ataxie cérébelleuse, niveau 4;7;70;10085,54;3993,98;0;269,56;01/03/2011
259;1;M;01M17T;Sclérose en plaques et ataxie cérébelleuse, très courte durée;0;0;492,96;0;0;0;01/03/2011
260;1;C;01M181;Lésions traumatiques intracrâniennes sévères, niveau 1;0;15;2089,26;0;0;135,14;01/03/2011
261;1;C;01M182;Lésions traumatiques intracrâniennes sévères, niveau 2;4;34;4944,08;2854,82;0;129,92;01/03/2011
262;1;C;01M183;Lésions traumatiques intracrâniennes sévères, niveau 3;5;47;7302,07;2357,99;0;113,99;01/03/2011
263;1;C;01M184;Lésions traumatiques intracrâniennes sévères, niveau 4;8;89;12089,74;4787,67;0;254,5;01/03/2011
264;1;C;01M191;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 1;0;5;1139,39;0;0;125,78;01/03/2011
265;1;C;01M192;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 2;0;24;3529,22;0;0;147,73;01/03/2011
266;1;C;01M193;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 3;4;36;5343,77;1814,55;0;145,99;01/03/2011
267;1;C;01M194;Autres lésions traumatiques intracrâniennes, sauf commotions, niveau 4;8;60;8847,42;3503,65;0;272,89;01/03/2011
268;1;C;01M201;Commotions cérébrales, niveau 1;0;0;695,13;0;0;0;01/03/2011
269;1;C;01M202;Commotions cérébrales, niveau 2;0;14;2296,11;0;0;94,82;01/03/2011
270;1;C;01M203;Commotions cérébrales, niveau 3;0;24;3448,48;0;0;86,96;01/03/2011
271;1;C;01M204;Commotions cérébrales, niveau 4;5;50;5709,51;2261,03;0;209,98;01/03/2011
272;1;M;01M211;Douleurs chroniques rebelles, niveau 1;2;10;1702,27;0;630,8;189,04;01/03/2011
273;1;M;01M212;Douleurs chroniques rebelles, niveau 2;4;18;3318,3;1616,03;0;182,12;01/03/2011
274;1;M;01M213;Douleurs chroniques rebelles, niveau 3;4;33;6050,14;2731,84;0;282,62;01/03/2011
275;1;M;01M214;Douleurs chroniques rebelles, niveau 4;5;47;10006,75;3956,61;0;393,54;01/03/2011
276;1;M;01M221;Migraines et céphalées, niveau 1;0;5;1003,08;0;0;112,31;01/03/2011
277;1;M;01M222;Migraines et céphalées, niveau 2;0;15;2289,9;0;0;95,93;01/03/2011
278;1;M;01M223;Migraines et céphalées, niveau 3;0;25;3249,21;0;0;238,59;01/03/2011
279;1;M;01M224;Migraines et céphalées, niveau 4;0;0;5380,25;0;0;0;01/03/2011
280;1;M;01M22T;Migraines et céphalées, très courte durée;0;0;550,8;0;0;0;01/03/2011
281;1;M;01M231;Convulsions hyperthermiques, niveau 1;0;3;949,43;0;0;184,09;01/03/2011
282;1;M;01M232;Convulsions hyperthermiques, niveau 2;0;12;2606,18;0;0;376,83;01/03/2011
283;1;M;01M233;Convulsions hyperthermiques, niveau 3;0;0;3838,62;0;0;0;01/03/2011
284;1;M;01M234;Convulsions hyperthermiques, niveau 4;0;0;6355,44;0;0;0;01/03/2011
285;1;M;01M241;Epilepsie, âge inférieur à 18 ans, niveau 1;0;6;1717,41;0;0;182,32;01/03/2011
286;1;M;01M242;Epilepsie, âge inférieur à 18 ans, niveau 2;0;17;3826,59;0;0;179,96;01/03/2011
287;1;M;01M243;Epilepsie, âge inférieur à 18 ans, niveau 3;0;34;7076,49;0;0;172,9;01/03/2011
288;1;M;01M244;Epilepsie, âge inférieur à 18 ans, niveau 4;5;61;11744,92;4668,43;0;407,55;01/03/2011
289;1;M;01M24T;Epilepsie, âge inférieur à 18 ans, très courte durée;0;0;744,23;0;0;0;01/03/2011
290;1;M;01M251;Epilepsie, âge supérieur à 17 ans, niveau 1;0;8;1520,63;0;0;118,28;01/03/2011
291;1;M;01M252;Epilepsie, âge supérieur à 17 ans, niveau 2;0;18;2703,4;0;0;121,59;01/03/2011
292;1;M;01M253;Epilepsie, âge supérieur à 17 ans, niveau 3;0;29;4248,11;0;0;111,72;01/03/2011
293;1;M;01M254;Epilepsie, âge supérieur à 17 ans, niveau 4;5;50;6594,23;2346,12;0;244,05;01/03/2011
294;1;M;01M25T;Epilepsie, âge supérieur à 17 ans, très courte durée;0;0;629,11;0;0;0;01/03/2011
295;1;M;01M261;Tumeurs malignes du système nerveux, niveau 1;0;16;2718,91;0;0;141,67;01/03/2011
296;1;M;01M262;Tumeurs malignes du système nerveux, niveau 2;4;35;5410,67;2691,76;0;182,76;01/03/2011
297;1;M;01M263;Tumeurs malignes du système nerveux, niveau 3;5;43;7308,07;1897,4;0;159,84;01/03/2011
298;1;M;01M264;Tumeurs malignes du système nerveux, niveau 4;10;62;10345,1;3037,03;0;311,19;01/03/2011
299;1;M;01M26T;Tumeurs malignes du système nerveux, très courte durée;0;0;615,62;0;0;0;01/03/2011
300;1;M;01M271;Autres tumeurs du système nerveux, niveau 1;0;9;1987,62;0;0;124,56;01/03/2011
301;1;M;01M272;Autres tumeurs du système nerveux, niveau 2;0;23;3731,49;0;0;180,86;01/03/2011
302;1;M;01M273;Autres tumeurs du système nerveux, niveau 3;6;35;5901,75;2170,26;0;297,91;01/03/2011
303;1;M;01M274;Autres tumeurs du système nerveux, niveau 4;6;48;9774,64;3872,89;0;379,19;01/03/2011
304;1;M;01M27T;Autres tumeurs du système nerveux, très courte durée;0;0;910,91;0;0;0;01/03/2011
305;1;M;01M281;Hydrocéphalies, niveau 1;0;8;1440,06;0;0;133,73;01/03/2011
306;1;M;01M282;Hydrocéphalies, niveau 2;0;26;3847,08;0;0;153,75;01/03/2011
307;1;M;01M283;Hydrocéphalies, niveau 3;4;35;5230,88;1383,8;0;201,75;01/03/2011
308;1;M;01M284;Hydrocéphalies, niveau 4;9;52;8660,56;3429,68;0;312,05;01/03/2011
309;1;M;01M28T;Hydrocéphalies, très courte durée;0;0;522,23;0;0;0;01/03/2011
310;1;M;01M291;Anévrysmes cérébraux, niveau 1;0;4;2181,03;0;0;253,73;01/03/2011
311;1;M;01M292;Anévrysmes cérébraux, niveau 2;0;19;5986,9;0;0;570,33;01/03/2011
312;1;M;01M293;Anévrysmes cérébraux, niveau 3;0;0;8818,05;0;0;0;01/03/2011
313;1;M;01M294;Anévrysmes cérébraux, niveau 4;0;0;14599,69;0;0;0;01/03/2011
314;1;M;01M301;Accidents vasculaires intracérébraux non transitoires, niveau 1;3;20;3129,34;0;816,97;128,93;01/03/2011
315;1;M;01M302;Accidents vasculaires intracérébraux non transitoires, niveau 2;4;33;4841,68;1712,34;0;127,98;01/03/2011
316;1;M;01M303;Accidents vasculaires intracérébraux non transitoires, niveau 3;5;45;6856,08;2014,4;0;109,57;01/03/2011
317;1;M;01M304;Accidents vasculaires intracérébraux non transitoires, niveau 4;8;71;9704,87;2848,79;0;254,52;01/03/2011
318;1;M;01M30T;Transferts et autres séjours courts pour accidents vasculaires intracérébraux non transitoires;0;0;678,42;0;0;0;01/03/2011
319;1;M;01M311;Autres accidents vasculaires cérébraux non transitoires, niveau 1;0;18;3043,68;0;0;115,36;01/03/2011
320;1;M;01M312;Autres accidents vasculaires cérébraux non transitoires, niveau 2;4;33;4774,13;1730,45;0;150,95;01/03/2011
321;1;M;01M313;Autres accidents vasculaires cérébraux non transitoires, niveau 3;5;44;7129,21;2355,08;0;114,39;01/03/2011
322;1;M;01M314;Autres accidents vasculaires cérébraux non transitoires, niveau 4;6;63;9302,69;2173,48;0;274,56;01/03/2011
323;1;M;01M31T;Transferts et autres séjours courts pour autres accidents vasculaires cérébraux non transitoires;0;0;769,05;0;0;0;01/03/2011
324;1;M;01M32Z;Explorations et surveillance pour affections du système nerveux;0;0;766,26;0;0;0;01/03/2011
325;1;M;01M331;Troubles du sommeil, niveau 1;0;0;730,71;0;0;0;01/03/2011
326;1;M;01M332;Troubles du sommeil, niveau 2;0;19;2005,78;0;0;194,17;01/03/2011
327;1;M;01M333;Troubles du sommeil, niveau 3;0;0;2954,3;0;0;0;01/03/2011
328;1;M;01M334;Troubles du sommeil, niveau 4;0;0;4891,31;0;0;0;01/03/2011
329;1;M;01M34Z;Anomalies de la démarche d'origine neurologique;3;26;3584,42;0;1000,2;255,26;01/03/2011
330;1;M;01M35Z;Symptômes et autres recours aux soins de la CMD 01;0;14;2351,71;0;0;313,05;01/03/2011
331;1;M;01M36E;Accidents vasculaires cérébraux non transitoires avec décès : séjours de moins de 2 jours;0;0;691,75;0;0;0;01/03/2011
332;1;M;01M37E;Autres affections de la CMD 01 avec décès : séjours de moins de 2 jours;0;0;654,57;0;0;0;01/03/2011
333;1;M;01M04T;Méningites virales, très courte durée;0;0;555,94;0;0;0;01/03/2011
334;1;M;01M15T;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge supérieur à 79 ans, très courte durée;0;0;736,66;0;0;0;01/03/2011
335;1;M;01M16T;Accidents ischémiques transitoires et occlusions des artères précérébrales, âge inférieur à 80 ans, très courte durée;0;0;825,88;0;0;0;01/03/2011
336;1;C;01M18T;Lésions traumatiques intracrâniennes sévères, très courte durée;0;0;844,89;0;0;0;01/03/2011
337;1;M;01M21T;Douleurs chroniques rebelles, très courte durée;0;0;440,67;0;0;0;01/03/2011
338;1;M;01M34T;Anomalies de la démarche d'origine neurologique, très courte durée;0;0;583,81;0;0;0;01/03/2011
339;1;M;01M35T;Symptômes et autres recours aux soins de la CMD 01, très courte durée;0;0;558,79;0;0;0;01/03/2011
410;2;C;02C021;Interventions sur la rétine, niveau 1;0;6;2634,16;0;0;213,31;01/03/2011
411;2;C;02C022;Interventions sur la rétine, niveau 2;0;15;4669,62;0;0;568,96;01/03/2011
412;2;C;02C023;Interventions sur la rétine, niveau 3;0;0;10333,36;0;0;0;01/03/2011
413;2;C;02C024;Interventions sur la rétine, niveau 4;0;0;13480,8;0;0;0;01/03/2011
414;2;C;02C02J;Interventions sur la rétine, en ambulatoire;0;0;1970,75;0;0;0;01/03/2011
415;2;C;02C031;Interventions sur l'orbite, niveau 1;2;7;2489,25;0;479,67;244,81;01/03/2011
416;2;C;02C032;Interventions sur l'orbite, niveau 2;0;18;5182,18;0;0;483,49;01/03/2011
417;2;C;02C033;Interventions sur l'orbite, niveau 3;4;31;11467,6;6285,42;0;684,3;01/03/2011
418;2;C;02C034;Interventions sur l'orbite, niveau 4;0;0;14960,52;0;0;0;01/03/2011
419;2;C;02C03J;Interventions sur l'orbite, en ambulatoire;0;0;1529,91;0;0;0;01/03/2011
420;2;C;02C051;Interventions sur le cristallin avec ou sans vitrectomie, niveau 1;0;3;1392,05;0;0;166,5;01/03/2011
421;2;C;02C052;Interventions sur le cristallin avec ou sans vitrectomie, niveau 2;0;17;3723,02;0;0;167,25;01/03/2011
422;2;C;02C053;Interventions sur le cristallin avec ou sans vitrectomie, niveau 3;4;44;8238,64;4515,62;0;349,2;01/03/2011
423;2;C;02C054;Interventions sur le cristallin avec ou sans vitrectomie, niveau 4;0;0;10748,05;0;0;0;01/03/2011
424;2;C;02C05J;Interventions sur le cristallin avec ou sans vitrectomie, en ambulatoire;0;0;1392,05;0;0;0;01/03/2011
425;2;C;02C061;Interventions primaires sur l'iris, niveau 1;2;6;1882,65;0;589,73;136,96;01/03/2011
426;2;C;02C062;Interventions primaires sur l'iris, niveau 2;0;25;4484,9;0;0;327,63;01/03/2011
427;2;C;02C063;Interventions primaires sur l'iris, niveau 3;0;0;9924,57;0;0;0;01/03/2011
428;2;C;02C064;Interventions primaires sur l'iris, niveau 4;0;0;12947,5;0;0;0;01/03/2011
429;2;C;02C06J;Interventions primaires sur l'iris, en ambulatoire;0;0;703,19;0;0;0;01/03/2011
430;2;C;02C071;Autres interventions extraoculaires, âge inférieur à 18 ans, niveau 1;0;4;1568,69;0;0;717,04;01/03/2011
431;2;C;02C072;Autres interventions extraoculaires, âge inférieur à 18 ans, niveau 2;0;0;3736,97;0;0;0;01/03/2011
